Year,Month,Smoothed_SSN
1818,11,43.367132867132725
1818,12,41.63496503496491
1819,1,40.181818181818066
1819,2,39.16083916083904
1819,3,38.59090909090899
1819,4,38.44475524475514
1819,5,38.50069930069922
1819,6,38.6755244755244
1819,7,38.896503496503406
1819,8,39.06013986013978
1819,9,39.12727272727264
1819,10,39.006993006992914
1819,11,38.564335664335566
1819,12,37.89300699300688
1820,1,36.95524475524464
1820,2,35.627272727272604
1820,3,33.95034965034952
1820,4,32.037062937062814
1820,5,30.190209790209664
1820,6,28.53076923076911
1820,7,26.87272727272715
1820,8,25.08391608391596
1820,9,23.209090909090786
1820,10,21.228671328671215
1820,11,19.255944055943953
1820,12,17.45314685314676
1821,1,15.830069930069842
1821,2,14.406293706293619
1821,3,12.9804195804195
1821,4,11.646153846153776
1821,5,10.76643356643351
1821,6,10.129370629370584
1821,7,9.669930069930036
1821,8,9.44615384615382
1821,9,9.29300699300697
1821,10,9.244755244755218
1821,11,9.412587412587381
1821,12,9.660139860139829
1822,1,9.830069930069902
1822,2,9.71678321678319
1822,3,9.306293706293676
1822,4,8.816083916083878
1822,5,8.185314685314642
1822,6,7.337762237762194
1822,7,6.399999999999953
1822,8,5.475524475524429
1822,9,4.58321678321674
1822,10,3.752447552447516
1822,11,2.8916083916083597
1822,12,1.8636363636363371
1823,1,0.8272727272727113
1823,2,0.15244755244754923
1823,3,0.1363636363636446
1823,4,0.6069930069930257
1823,5,1.3622377622377884
1823,6,2.5447552447552746
1823,7,4.075524475524507
1823,8,5.698601398601428
1823,9,7.134265734265764
1823,10,8.261538461538494
1823,11,9.276923076923113
1823,12,10.355244755244781
1824,1,11.473426573426584
1824,2,12.491608391608391
1824,3,13.16643356643356
1824,4,13.62937062937062
1824,5,14.026573426573416
1824,6,14.259440559440552
1824,7,14.242657342657337
1824,8,14.061538461538465
1824,9,14.088811188811198
1824,10,14.680419580419585
1824,11,15.91748251748252
1824,12,17.574125874125883
1825,1,19.349650349650368
1825,2,21.076223776223795
1825,3,22.65664335664337
1825,4,24.229370629370646
1825,5,25.652447552447573
1825,6,26.801398601398617
1825,7,27.897202797202816
1825,8,29.2846153846154
1825,9,31.34265734265736
1825,10,33.70419580419583
1825,11,35.89440559440561
1825,12,37.94055944055947
1826,1,40.27272727272731
1826,2,43.11398601398605
1826,3,46.209090909090946
1826,4,49.497902097902134
1826,5,52.98181818181821
1826,6,56.64125874125876
1826,7,60.57902097902099
1826,8,64.63636363636364
1826,9,68.2951048951049
1826,10,71.36503496503495
1826,11,74.01188811188807
1826,12,76.4496503496503
1827,1,78.62797202797195
1827,2,80.27832167832159
1827,3,81.54265734265724
1827,4,82.60769230769219
1827,5,83.40139860139848
1827,6,84.1062937062936
1827,7,85.22237762237752
1827,8,86.73426573426563
1827,9,88.54825174825166
1827,10,91.07272727272719
1827,11,94.0965034965034
1827,12,97.2993006993006
1828,1,100.3181818181817
1828,2,102.89160839160826
1828,3,104.93216783216769
1828,4,105.96153846153831
1828,5,106.2615384615383
1828,6,106.41328671328651
1828,7,106.24265734265714
1828,8,105.82587412587394
1828,9,105.6062937062935
1828,10,105.65314685314665
1828,11,105.76083916083896
1828,12,106.01118881118862
1829,1,106.54475524475505
1829,2,107.19720279720262
1829,3,107.79930069930053
1829,4,108.48881118881103
1829,5,109.81048951048933
1829,6,111.6671328671327
1829,7,113.50699300699281
1829,8,115.33006993006973
1829,9,116.66573426573406
1829,10,116.95874125874101
1829,11,116.42097902097879
1829,12,115.37132867132844
1830,1,114.21678321678301
1830,2,113.38461538461517
1830,3,112.83496503496481
1830,4,112.87272727272705
1830,5,113.56853146853122
1830,6,114.48321678321652
1830,7,115.15384615384589
1830,8,114.84475524475498
1830,9,113.35384615384588
1830,10,111.11818181818154
1830,11,108.53846153846122
1830,12,105.77622377622345
1831,1,102.80489510489477
1831,2,99.45314685314654
1831,3,95.89020979020947
1831,4,92.64545454545424
1831,5,89.26153846153817
1831,6,85.3762237762235
1831,7,81.39999999999972
1831,8,77.78601398601371
1831,9,74.81398601398573
1831,10,72.25034965034938
1831,11,69.79860139860112
1831,12,67.07972027972002
1832,1,63.81818181818157
1832,2,60.30839160839136
1832,3,57.06223776223752
1832,4,53.7489510489508
1832,5,49.90069930069905
1832,6,45.89930069930044
1832,7,42.035664335664094
1832,8,38.24055944055922
1832,9,34.33986013985994
1832,10,30.518181818181635
1832,11,27.044055944055778
1832,12,23.944055944055787
1833,1,21.436363636363495
1833,2,19.63566433566421
1833,3,18.35874125874115
1833,4,17.33006993006984
1833,5,16.443356643356566
1833,6,15.619580419580354
1833,7,14.678321678321618
1833,8,13.758041958041906
1833,9,13.025174825174778
1833,10,12.532167832167792
1833,11,12.190909090909063
1833,12,12.060139860139847
1834,1,12.332867132867136
1834,2,13.055244755244765
1834,3,14.15804195804197
1834,4,15.30559440559443
1834,5,16.57902097902102
1834,6,18.39510489510495
1834,7,20.720979020979087
1834,8,23.496503496503582
1834,9,26.5874125874127
1834,10,30.100699300699436
1834,11,34.504895104895255
1834,12,40.246153846154016
1835,1,47.26713286713304
1835,2,55.0895104895107
1835,3,63.467832167832384
1835,4,72.23356643356665
1835,5,81.68951048951071
1835,6,91.80489510489534
1835,7,102.1853146853149
1835,8,112.8090909090911
1835,9,123.72167832167845
1835,10,134.62167832167842
1835,11,145.06713286713293
1835,12,154.2475524475525
1836,1,161.72307692307695
1836,2,168.46083916083916
1836,3,175.427972027972
1836,4,183.0384615384615
1836,5,191.18391608391602
1836,6,199.18601398601388
1836,7,206.8412587412586
1836,8,214.40419580419564
1836,9,221.93916083916065
1836,10,228.77342657342638
1836,11,234.14265734265706
1836,12,237.87202797202764
1837,1,240.21258741258697
1837,2,241.86293706293657
1837,3,242.3398601398596
1837,4,241.11398601398548
1837,5,238.0846153846148
1837,6,233.6447552447547
1837,7,228.6748251748246
1837,8,223.55314685314622
1837,9,218.4594405594399
1837,10,213.46013986013924
1837,11,208.7923076923071
1837,12,204.77342657342598
1838,1,200.97902097902036
1838,2,196.50699300699245
1838,3,191.25804195804142
1838,4,185.87132867132811
1838,5,180.82377622377564
1838,6,176.17692307692246
1838,7,171.3769230769225
